name,page_link,rating_stars,certifications,phone_number,about_section
Grapevine Pro,https://www.gaf.com/en-us/roofing-contractors/residential/usa/nj/iselin/grapevine-pro-1130919,4.8,"President's Club Award, GAF Master Elite®",(848) 858-3756,"We are committed to providing you a worry free home renovation project. This is guaranteed thanks to our no money down process, free estimate and inspection along with full contact support before, during, and after the job is done. You can always expect us to pick the phone to work with you, resolve any issues that arise, or help with any future decisions. Even if you don’t go with us, we want to provide you with the information and confidence for when you are ready to move forward, and when that time comes, we’d love to be the company to help. When you go with Grapevine, you go with quality, professionalism, and unmatched customer service."
Brothers Aluminum Home Improvements Corp,https://www.gaf.com/en-us/roofing-contractors/residential/usa/ny/valley-stream/brothers-aluminum-home-improvements-corp-1100696,4.8,"President's Club Award, GAF Master Elite®",(516) 940-7609,"About Brothers: People often ask about our name, Brothers Aluminum- well the simple fact is when we first began changing the exterior look and functionality of homes 30 years ago, Aluminum was the ""new"" material of choice. So yes times have changed, and the selection of exterior materials available from Vinyl Siding, Stucco, and Fiber Cement have grown, our Name Brothers Aluminum remains the same. You see we pride ourselves on our history, our reputation and the products and services we provide to our customers. Having serviced over 60,000 homes on Long Island and the Tri-State area, for 30 years, it is our Name and our Reputation for providing excellent workmanship in a timely and professional manner that we pride ourselves on. Our services have grown over the years, from a siding company to a full service remodeler with expertise in all phases of exterior home improvement, to an interior contractor- with complete Kitchen, Bathroom and Basement remodeling. You can rest assured, any project we undertake will be completed with the utmost attention. When you think of quality, service and reputation there is only one name...... Brothers Aluminum"
AK Gatsios Inc,https://www.gaf.com/en-us/roofing-contractors/residential/usa/ny/bronx/ak-gatsios-inc-1101267,5.0,GAF Master Elite®,(646) 934-6697,"A K GATSIOS INC. is a New York based company that has completed projects throughout the tri-state area. They are a licensed and fully insured general contractor working with a staff of experienced personnel with over 15 years experience in the business. A K GATSIOS INC. specializes in all types of residential and commercial projects and is committed to the highest standard of safety performance consistent with sound construction practices. Providing a clean and safe working environment is a priority. Their successful track record of bringing in projects on schedule and within budget, while maintaining a high quality of workmanship without compromising detail, makes them proud. It's been proven that they are able to quickly adapt to the needs of their clients. A K GATSIOS INC. provides, consulting, pre-construction, and complete finishes. If their services could be of use to you at any time, A K GATSIOS INC. welcomes the opportunity to work with you on your next project. Please feel free to explore the site keeping in mind that no job is too big or to small. Please contact us via email, facebook or phone to further assist you. Thank You so much, Regards, Alkis"
Complete Roof Systems,https://www.gaf.com/en-us/roofing-contractors/residential/usa/nj/dumont/complete-roof-systems-1002688,5.0,GAF Master Elite®,(551) 900-0075,CRS is a family owned and operated roofing company that was established in 1977.
American Home Contractors Inc,https://www.gaf.com/en-us/roofing-contractors/residential/usa/nj/florham-park/american-home-contractors-inc-1005149,5.0,GAF Master Elite®,(908) 679-9043,"American Home Contractors is a full service Roofing, Windows, and Siding company. Our commitment to detailed workmanship, quality products and responsive service has helped build our excellent reputation with homeowners in the past 15 years. As one of the leading siding, roofing and windows contractors in New Jersey, we understand that Your Satisfaction Means Everything. Our commitment is on our customer’s 100% satisfaction, and will strive to exceed your expectations. Conveniently located in Florham Park NJ, American Home Contractors has become the destination for top-quality window, roofing, and siding solutions for New Jersey homes. Please contact us to schedule a free, in-home consultation and learn more about our superior difference. CALL US AT (908) 679-9046 TO SCHEDULE YOUR FREE CONSULTATION!"
RH Renovation LLC,https://www.gaf.com/en-us/roofing-contractors/residential/usa/ny/bronx/rh-renovation-llc-1143942,5.0,GAF Master Elite®,(332) 900-7108,"RH Renovation LLC is a full-service exterior construction and renovation company based in New York City. We offer one of the best construction services in New York for both Commercial and Residential use. Our methods are fully certified and ergonomic. We use modern techniques that allow us to work fast, keep the costs low and reach the highest quality. Our exterior construction and renovation services include: Roofing, Chimney, Gutter, Skylight, Siding, and more. Our Service Areas are: Westchester, Bronx, Queens, Brooklyn,"
B&B Contracting Corp,https://www.gaf.com/en-us/roofing-contractors/residential/usa/ny/staten-island/bb-contracting-corp-1116738,5.0,GAF Master Elite®,(929) 702-1230,"B&B has been proudly serving residents across all 5 boroughs and New jersey as roofing contractors. We are a family owned and operated business that places the needs of each customer before our selves. Whether you need a new roof, roof repairs, gutters or waterproofing “We’ve Got You Covered”. We’ve served countless homeowners in the last decade and we are always happy to work with both new and existing customers. The safety and value of your property is our priority, and with our roofing services you can be sure your home is always in top shape."
MNT Roofing & Siding,https://www.gaf.com/en-us/roofing-contractors/residential/usa/nj/totowa/mnt-roofing-siding-1107024,5.0,GAF Master Elite®,(862) 352-3833,N/A
Golden Key Construction Group Inc,https://www.gaf.com/en-us/roofing-contractors/residential/usa/ny/staten-island/golden-key-construction-group-inc-1143894,5.0,GAF Master Elite®,(929) 702-1457,N/A
Hammer Exteriors LLC,https://www.gaf.com/en-us/roofing-contractors/residential/usa/nj/south-plainfield/hammer-exteriors-llc-1124727,5.0,GAF Master Elite®,(862) 437-3860,"My wife and I truly felt cared for throughout our entire experience with Hammer Exteriors. From the very beginning, Rob treated our home like it was his own, and it showed in every aspect of the project—from his craftsmanship to his professionalism and incredible attention to detail. Rob didn’t just do the job—he took pride in it. He was incredibly meticulous, carefully inspecting every element. If something seemed even slightly off, he addressed it without hesitation. The care he put into the roof penetrations, siding, and custom trim around the windows went well beyond our expectations. What stood out most was how responsive and thoughtful Rob was. He kept us informed, answered all our questions promptly, and made sure we always felt confident in the process. It wasn’t just about finishing the job—it was about doing it right for us. The work was completed on time, the pricing was more than fair, and the results were truly exceptional. We honestly wish Rob and his team could handle every project around our home—we wouldn’t hesitate to call them again. If you’re looking for someone who genuinely cares about their work and their clients, Hammer Exteriors is the clear five-star choice."
Future Remodeling,https://www.gaf.com/en-us/roofing-contractors/residential/usa/nj/bergenfield/future-remodeling-1148691,5.0,GAF Master Elite®,(201) 371-5515,"At Future Remodeling, we believe that by transforming our homes, we can transform our lives. Experience remodeling like never before. From the first consultation to the final reveal, we make every step effortless and transparent. Forward-thinking is part of our DNA, and we apply it to everything we do to ensure results exceed expectations (because we believe your home’s exterior should be as innovative as you are.) Discover how we’re revolutionizing the future of home exteriors!"
Reisch Roofing and Construction LLC,https://www.gaf.com/en-us/roofing-contractors/residential/usa/nj/pompton-plains/reisch-roofing-and-construction-llc-1118403,5.0,GAF Master Elite®,(855) 907-6591,"Reisch Roofing and Construction LLC was founded on the principles of fast, friendly service, and quality workmanship. They noticed a void for honest contractors who will work hard, say what they do, and do what they say. Therefore, they set out to fill that void by opening Reisch Roofing and Construction LLC. Reisch Roofing and Construction LLCs size and stability allows them to have professional roof inspectors at your property to inspect the roof before and after every job. This ensures the highest level of quality and workmanship. Customer satisfaction is Reisch Roofing and Construction LLCs top priority. Reisch Roofing and Construction LLC is dedicated to providing their customers with quality that they can trust. They work directly with real estate agencies, property management companies, claims adjusters, insurance companies, homeowners, and more to provide the best direct service for their customers. It is because of Reisch Roofing and Construction LLCs values rooted in honesty and integrity that the company has a positive image with their customers. Reisch Roofing and Construction LLCs customers referrals are proof that they do what we say and say what they do. Reisch Roofing and Construction LLC is thankful for all the kind words and blessings that are generated from their customers. Overall, Reisch Roofing and Construction LLCs roofing and remodeling services are implemented by some of the best installers in the roofing industry, and Reisch Roofing and Construction LLC prides themselves with providing you with long lasting quality."
All Professional Remodeling Group LLC,https://www.gaf.com/en-us/roofing-contractors/residential/usa/nj/cedar-grove/all-professional-remodeling-group-llc-1001104,5.0,GAF Master Elite®,(973) 571-3005,"All Professional Remodeling Group has been on top of the roofing, siding, metal, and window industry in Northern New Jersey for over 28 years. Our backbone has always been our dedication to satisfying our customers needs and providing the highest quality of work for every single project we take on. With an array of certficataions, including being GAF Master Elite Roofing Contractors and GAF Master Commecial Roofing Installers just to name a few, we have the full backing of the largest roofing manufacturer in the country. Give us a call at 973-571-3052 to assist you with any exterior projects you may have!"
NYC General Pro Roofing Inc,https://www.gaf.com/en-us/roofing-contractors/residential/usa/ny/brooklyn/nyc-general-pro-roofing-inc-1125170,5.0,GAF Master Elite®,(929) 730-5327,"We have nothing but great things to say about NYC General Pro Roofing - Carlos & his fellow team members. Carlos did a 5 star roofing work at our home in Muttontown New York. There has been several heavy rain events after the project completion and we did not have any leaks at all! General Pro completed all work on time, on budget and all in 1 day - simply amazing!! Everyone was true professional, always attentive to details and willing to go extra mile without any issue what so ever!! We are very satisfied with our roofing project, our house looks so much better with the new roof and we recommend Carlos and his team to anyone if need for a roof replacement company having true professionals who are courteous, very attentive and all around 5 star expert roofers at a reasonable cost!!"
Kelly Exteriors,https://www.gaf.com/en-us/roofing-contractors/residential/usa/nj/emerson/kelly-exteriors-1104793,5.0,GAF Master Elite®,(201) 977-1076,"We are a family owned, fully licensed and insured home improvement company, using all American made materials, specializing in roofing, siding, gutters and window installation for commercial buildings and residential homes."
McLeod Brothers Inc,https://www.gaf.com/en-us/roofing-contractors/residential/usa/ny/new-rochelle/mcleod-brothers-inc-1000796,5.0,GAF Master Elite®,(914) 712-8008,N/A
All Site Roofing,https://www.gaf.com/en-us/roofing-contractors/residential/usa/ny/franklin-square/all-site-roofing-1124078,5.0,GAF Master Elite®,(516) 970-5193,"Art and his crew did a great job from start to finish. He explained all the roofing system components available and recommended the right ones for our home, including a zinc strip installed below the ridge vents to deter future mold growth. He used software to calculate the exact amount of shingles we needed so we didn’t over order. When we couldn’t find the shingles we wanted for our cottage-style home locally due to supply chain issues, he ordered them from an out-of-state home improvement store and had them shipped to us. His crew worked hard every day until our large roof was done, and they took pride in their work. They were also tidy and professional. Art treats them well and it shows. They also installed new copper flashing on our home’s three chimneys and it came out really nice. We had a few leaks before installing the new roof, but now there are none! Could not have asked for a better roofer than Art. He really cares about his customers and the quality of his work."
All Seasons Roofing LLC,https://www.gaf.com/en-us/roofing-contractors/residential/usa/ny/staten-island/all-seasons-roofing-llc-1135593,5.0,GAF Master Elite®,(929) 730-7968,N/A
GC Dynatech Construction LLC,https://www.gaf.com/en-us/roofing-contractors/residential/usa/nj/south-amboy/gc-dynatech-construction-llc-1004105,5.0,GAF Master Elite®,(732) 468-7039,N/A
VMG Group,https://www.gaf.com/en-us/roofing-contractors/residential/usa/nj/roselle/vmg-group-63229,5.0,GAF Master Elite®,(862) 387-6364,N/A
Long Island Roofing and Repairs Service,https://www.gaf.com/en-us/roofing-contractors/residential/usa/ny/north-bellmore/long-island-roofing-and-repairs-service-1005906,4.9,GAF Master Elite®,(516) 530-7786,"From Roof Repairs to Replacements ""We got you Covered"". Since 1985, Long Island Roofing has been providing cost-effective solutions in the roofing industry, all while keeping our customers as our number one focus. Whether it is a complete new roof or a simple repair, Long Island Roofing can guide you through the roofing process, making it easy and seamless as possible. We are a full service licensed, insured and bonded company and we are experts in all forms of roof work including shingles, flat, tiles slate, metal, roof repairs Solar Roofing, Skylights, chimney flashingsand seamless gutters and leaders. We also provide quick 24 hour emergency repair services for any rofoing system, should the need arise. We are proud to be a long standing GAF Master Elite Contractor while providing our clients the best materials in the roofing industry along with the highest quality of service at a reasonable cost."
R&G Services Corp,https://www.gaf.com/en-us/roofing-contractors/residential/usa/nj/orange/rg-services-corp-1004426,4.9,GAF Master Elite®,(973) 324-9461,"R and G Family business , working in essex county for the last 25 year"
The Carpenter's Touch LLC,https://www.gaf.com/en-us/roofing-contractors/residential/usa/nj/livingston/the-carpenters-touch-llc-1100484,4.9,GAF Master Elite®,(862) 352-5814,"Because experience doesn't always equal superior quality, The Carpenter's Touch has worked hard to earn a number of industry and professional recognitions and awards to improve our services and show our customers that we're truly dedicated to our work. Know that we are a GAF Certified Master Elite Roofing Contractor as well as a 2017 James Hardie President's Club Award Winning Preferred Contractor. You're sure to be pleased to learn that we're also recipients of the 2016 Angie's List Super Service Award, of which only roughly five percent of Angie's List businesses meet the necessary requirements."
Above & Beyond Exterior Remodelers,https://www.gaf.com/en-us/roofing-contractors/residential/usa/nj/fords/above-beyond-exterior-remodelers-1100365,4.9,GAF Master Elite®,(732) 808-6955,N/A
CKG Contractors Inc,https://www.gaf.com/en-us/roofing-contractors/residential/usa/nj/parsippany/ckg-contractors-inc-1003499,4.9,GAF Master Elite®,(973) 793-9624,"Residential Roof/Commercial Roof specialist. Northern New Jersey. Morris County, Essex County, Somerset County, Union County. 30-year Workmanship Warranty. Roofing-Siding-Windows-Gutter Guards"
HK Builders Corp,https://www.gaf.com/en-us/roofing-contractors/residential/usa/ny/flushing/hk-builders-corp-1137852,4.9,GAF Master Elite®,(929) 684-3351,N/A
Lojas Home Improvement Plus LLC,https://www.gaf.com/en-us/roofing-contractors/residential/usa/nj/union/lojas-home-improvement-plus-llc-1119370,4.9,GAF Master Elite®,(973) 604-5224,"Loja’s Home Improvement Plus LLC in Newark, NJ, takes great pride in our experience, expertise, quality, and customer service that we provide to meet the needs of the consumer. It is our mission to provide excellent workmanship and complete customer satisfaction from start to completion of a project. Lojas Roofing and Sidings is a leader and well known as a roofing contractor in Montville, NJ! In order to understand the needs and expectations of our customers, we take great care to work and communicate with every customer in a professional manner. Our reputation is based on service, safety, and quality, regardless of how large or small the job."
One Call Construction,https://www.gaf.com/en-us/roofing-contractors/residential/usa/nj/hawthorne/one-call-construction-1112309,4.9,GAF Master Elite®,(888) 992-1257,N/A
American Quality Home Improvements LLC,https://www.gaf.com/en-us/roofing-contractors/residential/usa/nj/belleville/american-quality-home-improvements-llc-1108705,4.9,GAF Master Elite®,(855) 686-1133,"If you are looking for a siding and roofing company this is the company you need to use. Very attentive and the keeps you informed of the project all the way through. The crew is extremely kind and clean as well as very thorough in their work. The companies business model is outstanding ,I can’t say enough about Christian the owner. He visited my house during the project and after and made sure everything was up to my expectations. Also the price they gave me was more than fair. I highly recommend using this company for siding , roofing, gutters and windows. Great experience. The whole team was amazing and Jessica the project coordinator was awesome!!!!! Which I could give 10 stars!!! Also they finished the job ahead of schedule"
LGM Roofing Contractor,https://www.gaf.com/en-us/roofing-contractors/residential/usa/nj/bloomfield/lgm-roofing-contractor-1112549,4.9,GAF Master Elite®,(973) 787-5735,"LGM General Construction LLC has 30 years of experience of in new roof installation, repairs, and maintenance. Fully insured and Licensed. Our team is extensively trained to deliver prompt, professional service, to help your home look its best"
American Star Contractor Corp,https://www.gaf.com/en-us/roofing-contractors/residential/usa/ny/bronx/american-star-contractor-corp-1121148,4.9,GAF Master Elite®,(862) 810-8697,"Our team of Roofing, Siding, Skylight, Chimney, Gutter, and Painting experts at the American Star Contractor Corp love all of our communities throughout NY. Maybe it’s the fact that we live here, and we work here. Or that we have years of experience helping your homes look “just a little bit nicer” because of our work? Maybe it’s because we take pride in the fact that we are consistently rated as one of the leading construction companies in all of New York? We honestly take pride in all of our work, and we love what we do. We hope to help you with any work on your property soon. We’re confident you’ll love what we do! We are just a call away! The professionals at the American Star Contracting Corp will make sure that your queries are dealt with on a priority basis. A team of our professionals will visit your location in Eastchester NY, Westchester NY, West Harrison NY, and Mamaroneck NY. Get experienced, efficient and durable services with the American Star Contracting Corp. Call us for a FREE ESTIMATE"
MK Best Roofing,https://www.gaf.com/en-us/roofing-contractors/residential/usa/ny/roosevelt/mk-best-roofing-1139996,4.9,GAF Master Elite®,(934) 414-6353,"My roof was leaking so I started looking for roofing companies on Google. I found 3 companies and call them 3 to get estimates .. Each companies came and checked out my roof Once I had all 3 estimates one of them just kept me looking and feeling good about the estimate. It was MK roofing Izzy was the gentleman that came to my house. Izzy had a picture of my roof that a drone took a picture of. Izzy gave me a little back round of his family history of the business. As we was talking Izzy never looked away from me. Izzy showed me everything that they would use to do my roof and then I picked the color and GAF shinges. I told him I needed to be home when he can do the roof so we pick Thursday of last week . The guys came on time and started taking apart my roof. Each one of them new there role in replacing my roof ,They were clean, pleasant and knowledgeable. It started to rain so they covered one side and kept on working.The rain Finally stopped by then they was finished. They cleaned up you wouldn't have think that a roof was done that day. After they finish I thank them for doing a Excellent job.then I call Izzy to let him know how much I appreciate his family company and the guys the worked on my roof. I wanted to know when my gutters would be done he said Friday but I wasn't going to be home.I asked him if Tuesday which was yesterday and Izzy made it happen. Mr Perez came with another guy and put the gutters up in no time .After they finished we talked about how he liked putting up gutters he did that for 13 years and worked for MK roofing for some year now and he like it. The energy around your guys and you made me so happy. I'll tell any one just call MK roofing and you will see and feel what I taking about."
RK Roofing Inc,https://www.gaf.com/en-us/roofing-contractors/residential/usa/nj/caldwell/rk-roofing-inc-1002346,4.9,GAF Master Elite®,(973) 582-7521,"R.K. Roofing, Inc. strives for excellence. The crews are skilled professionals whose main objective is to get the job done in a speedy yet cautious manner. Being in the business for over 40 years has earned us a valued reputation of reliability and professionalism. R.K. Roofing, Inc. carries a wide selection of shingles, siding, gutters & leaders which contributes to the homeowners final decision as to what will make their house feel like a warm and secure home. Roofing with R.K. Roofing Inc. as stated by the hundreds of homeowners who have trusted in our Company to give the highest quality job at such affordable prices, ""we are homeowner friendly"". As noted by R.K. Roofing, Inc. the simple pleasure of looking at your roof and knowing it has a degree of elegance and creativity makes the home a much more comfortable abode."
B&W Group Inc,https://www.gaf.com/en-us/roofing-contractors/residential/usa/nj/montvale/bw-group-inc-1003008,4.9,GAF Master Elite®,(914) 999-8578,"B & W Group Inc. has been providing professional roofing and siding services in NY, NJ and CT. We strive to satisfy our customers with high quality product that will last leak free for years. No matter the size of the project B & W Group will provide peace of mind backed by the best GAF Gaolden Pledge warranty. B & W Group as GAF Solar Elite Contractor now offers the DecoTech Solar Rooding System. It’s a elegant low profile high output solar panels that deliver optimal performance for affordable price. B & W Group can install both the DecoTech System and roofing system at the same time wrapped under one warranty backed by GAF."
Prodigy Contracting Inc,https://www.gaf.com/en-us/roofing-contractors/residential/usa/ny/franklin-square/prodigy-contracting-inc-1103991,4.9,GAF Master Elite®,(934) 414-6302,"Prodigy Contracting Inc has over 20 years experience in roofing. We are a Veteran owned business, we have protected our great country so now let us protect your beautiful home with he highest quality shingle in GAF. ""We got you covered"""
Rebuild America,https://www.gaf.com/en-us/roofing-contractors/residential/usa/ny/mineola/rebuild-america-1002371,4.9,GAF Master Elite®,(516) 540-7965,We are here to help with your home roofing needs. Easy process from the first call to a beautiful new roof. Call today.
A Real Advantage Inc,https://www.gaf.com/en-us/roofing-contractors/residential/usa/ny/jamaica/a-real-advantage-inc-1002963,4.9,GAF Master Elite®,(929) 933-4701,"A Real Advantage Inc is a trusted fully licensed and insured family owed and operated construction company. It is our goal to work with the community hand in hand, improving our neighborhood one job at a time. We have an A+ rating with the Better Business Bureau (BBB) since 1992 and associated with Angie's list since 2011. At A Real Advantage we take extreme pride in the honest and dependable services that we have to offer. Estimates are FREE, so please call today for your complimentary estimate and let us show you the Real Advantage in home construction today! Please feel free to visit our website to review more information on our company and the other services we have to offer."
ADH Group,https://www.gaf.com/en-us/roofing-contractors/residential/usa/ny/jackson-heights/adh-group-1136285,4.8,GAF Master Elite®,(929) 674-6207,"My experience with Sergio who works with ADH Group was nothing but amazing. Sergio was very professional, knowledgable and attentive to the needs of this household. I am very happy about this upgrade. I look forward sharing my great experience with the neighbors."
A&J Professional Services Inc,https://www.gaf.com/en-us/roofing-contractors/residential/usa/nj/south-plainfield/aj-professional-services-inc-1118752,4.8,GAF Master Elite®,(908) 883-6296,N/A
B&B Siding and Roofing,https://www.gaf.com/en-us/roofing-contractors/residential/usa/ny/staten-island/bb-siding-and-roofing-1103353,4.8,GAF Master Elite®,(929) 730-7179,"Service provided: Siding, Roofing, Gutters, Windows. Family Owned and operated since 1994. Serving Staten Island NY, Brooklyn NY, Central New Jersey."
Seci Construction Inc,https://www.gaf.com/en-us/roofing-contractors/residential/usa/nj/clifton/seci-construction-inc-1136200,4.8,GAF Master Elite®,(855) 960-5856,"SECI Construction Inc has been in business for 50 years! We are family owned and operated. We serve all of NJ, Eastern PA, NY, and CT from our multiple locations. We specialize in Roofing, Siding, Windows, and Masonry."
J Salvatore & Sons Inc,https://www.gaf.com/en-us/roofing-contractors/residential/usa/ny/yonkers/j-salvatore-sons-inc-1003498,4.8,GAF Master Elite®,(914) 650-1808,"At J. Salvatore & Sons, Inc., we know that you have a choice in choosing a contractor and we'd like that choice to be us. Choose us for our excellent workmanship, unparalleled work ethic, affordable prices, and expertise. J. Salvatore & Sons Roofing, a family business, successfully serving its respected customers since 1921 in New York and the Tri-state area. We know how important is to maintain and repair your family home, commercial building, warehouse or office. As one of the oldest roofing contractor companies among Bronx Roofing Contractors, Manhattan Roofing Contractors, Queens Roofing Contractors, expert NY Roofers, dependable New York Roofing Company, whom serving New York City and NY State, we are licensed, bonded and fully insured. We provide written guarantees, free estimate, inspection and assistance with your roofing project(s). We specialized in Slate, Tile, Wood, Metal & Cooper roofing. - See more at: http://www.nyroofer.com"
Big Apple Renovators,https://www.gaf.com/en-us/roofing-contractors/residential/usa/ny/astoria/big-apple-renovators-1119153,4.8,GAF Master Elite®,(929) 667-7309,N/A
Dior Construction,https://www.gaf.com/en-us/roofing-contractors/residential/usa/nj/bergenfield/dior-construction-1104750,4.7,GAF Master Elite®,(551) 373-9831,"Dior Construction is a family owned and operated company specializing in all systems of roofing for residential and commercial properties. From shingle roofs to flat roofs and everything in between, Dior Construction is your trusted neighborhood provider for premium roof installation. We understand any renovation can be intimidating, and we will guide you through the process of installing your new roof to guarantee your satisfaction. At Dior Construction, we care about our clients, and we maintain ongoing relationships to ensure our projects stand the test of time."
Window Depot USA of Lower NY,https://www.gaf.com/en-us/roofing-contractors/residential/usa/ny/south-hempstead/window-depot-usa-of-lower-ny-1100471,4.7,GAF Master Elite®,(516) 540-7543,N/A
Royal Renovators Inc,https://www.gaf.com/en-us/roofing-contractors/residential/usa/ny/forest-hills/royal-renovators-inc-1109076,4.7,GAF Master Elite®,(929) 923-4481,"Royal Renovators Inc. is a fully licensed and insured full-service roofing and other exterior renovations company with offices throughout the New York City area, including Queens, Brooklyn, Manhattan, the Bronx as well as Long Island. Our employees are committed to providing the highest quality service, both workmanship and customer service. Our reputation for quality has been recognized by hundreds of 5-star ratings on Google, YELP, Angie's List, and other such review websites. Royal is also BBB Accreditation with an A+ rating, is a GAF Master Elite shingle roofing contractor and in the GAF President's Club. Thousands of projects have been completed for happy property owners, and our honors and awards reflect that we are Brooklyn and Queens top roofing contractor, because we treat our customers like royalty while keeping costs down. Contact us today to set up your fast & free at-home estimate."
